timestamp,datetime,track_WS_01,track_WS_02,track_WS_03,track_collection1,track_collection2,track_collection3,track_retrofit1,track_retrofit2,track_retrofitted1,workshop_WS_01_busy_bays,workshop_WS_02_busy_bays,workshop_WS_03_busy_bays,locomotives_busy,wagons_in_process
0.0,2025-12-01T00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0,2025-12-01T01:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.0,2025-12-01T02:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.0,2025-12-01T03:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.0,2025-12-01T04:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.0,2025-12-01T05:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.0,2025-12-01T06:00:00+00:00,0,0,0,0,0,0,7,0,0,0,0,0,1,7
420.0,2025-12-01T07:00:00+00:00,0,0,0,0,0,0,7,0,0,0,0,0,1,7
480.0,2025-12-01T08:00:00+00:00,0,0,0,0,0,0,7,0,0,0,0,0,1,7
540.0,2025-12-01T09:00:00+00:00,2,2,2,0,0,0,0,0,0,2,2,2,0,12
600.0,2025-12-01T10:00:00+00:00,2,2,2,0,0,0,0,0,0,0,0,0,1,6
660.0,2025-12-01T11:00:00+00:00,2,2,2,21,0,0,21,0,0,0,0,0,2,48
720.0,2025-12-01T12:00:00+00:00,0,0,0,21,0,0,21,0,0,0,0,0,2,42
780.0,2025-12-01T13:00:00+00:00,0,0,0,21,0,0,21,0,0,0,0,0,1,42
840.0,2025-12-01T14:00:00+00:00,2,2,2,21,0,0,13,0,0,2,2,2,1,46
900.0,2025-12-01T15:00:00+00:00,2,2,2,1,0,0,4,19,8,0,0,0,4,38
960.0,2025-12-01T16:00:00+00:00,4,4,4,24,0,0,17,19,0,2,2,2,3,78
1020.0,2025-12-01T17:00:00+00:00,2,2,2,24,0,0,12,19,5,0,0,0,4,66
1080.0,2025-12-01T18:00:00+00:00,4,4,2,24,0,0,12,17,2,2,2,0,4,69
1140.0,2025-12-01T19:00:00+00:00,4,2,4,24,0,0,12,14,5,2,0,2,3,69
1200.0,2025-12-01T20:00:00+00:00,4,4,6,16,0,0,17,12,0,0,2,2,3,63
1260.0,2025-12-01T21:00:00+00:00,4,2,2,24,19,0,14,17,5,2,0,0,4,89
1320.0,2025-12-01T22:00:00+00:00,4,4,4,15,19,0,20,17,7,0,2,2,4,94
1380.0,2025-12-01T23:00:00+00:00,6,4,4,15,19,0,17,14,5,2,0,0,4,86
1440.0,2025-12-02T00:00:00+00:00,4,4,2,15,12,0,15,18,11,0,2,0,4,83
1500.0,2025-12-02T01:00:00+00:00,6,4,4,10,12,0,20,15,2,2,0,2,4,77
1560.0,2025-12-02T02:00:00+00:00,2,4,4,19,12,0,17,15,5,0,2,2,4,82
1620.0,2025-12-02T03:00:00+00:00,4,4,4,19,7,0,14,18,10,2,0,0,4,82
1680.0,2025-12-02T04:00:00+00:00,4,6,6,14,7,0,17,16,5,0,2,2,4,79
1740.0,2025-12-02T05:00:00+00:00,4,2,4,14,0,0,14,20,10,2,0,0,4,70
1800.0,2025-12-02T06:00:00+00:00,2,2,2,24,14,0,14,18,2,0,2,2,4,82
1860.0,2025-12-02T07:00:00+00:00,4,4,2,19,14,0,17,18,2,2,2,0,4,84
1920.0,2025-12-02T08:00:00+00:00,2,4,4,19,8,0,20,15,8,0,0,2,4,82
1980.0,2025-12-02T09:00:00+00:00,4,6,4,10,8,0,20,21,0,2,2,0,4,77
2040.0,2025-12-02T10:00:00+00:00,2,2,4,10,8,0,18,18,5,0,0,2,4,69
2100.0,2025-12-02T11:00:00+00:00,4,4,4,24,20,0,20,20,2,2,2,0,4,102
2160.0,2025-12-02T12:00:00+00:00,4,4,6,23,20,0,19,20,5,0,0,2,4,103
2220.0,2025-12-02T13:00:00+00:00,4,2,4,23,20,0,19,20,5,2,0,0,4,99
2280.0,2025-12-02T14:00:00+00:00,4,2,4,23,16,0,20,15,7,0,0,0,4,91
2340.0,2025-12-02T15:00:00+00:00,4,4,4,18,16,0,20,20,7,2,2,2,3,99
2400.0,2025-12-02T16:00:00+00:00,4,6,4,24,24,24,20,17,2,0,2,0,4,127
2460.0,2025-12-02T17:00:00+00:00,4,6,4,24,21,24,20,20,5,0,0,0,4,128
2520.0,2025-12-02T18:00:00+00:00,2,2,4,22,21,24,20,18,8,0,0,2,4,123
2580.0,2025-12-02T19:00:00+00:00,4,4,4,22,21,21,20,20,0,2,2,0,4,120
2640.0,2025-12-02T20:00:00+00:00,2,2,2,22,20,21,19,18,5,0,0,0,4,111
2700.0,2025-12-02T21:00:00+00:00,4,2,4,24,24,21,20,20,7,2,0,2,4,130
2760.0,2025-12-02T22:00:00+00:00,2,2,2,24,24,21,20,18,0,0,2,0,4,115
2820.0,2025-12-02T23:00:00+00:00,2,2,2,24,22,21,17,18,2,0,0,2,4,112
2880.0,2025-12-03T00:00:00+00:00,2,4,2,21,22,20,20,20,0,2,2,0,4,115
2940.0,2025-12-03T01:00:00+00:00,2,2,2,21,22,20,20,20,0,0,0,0,4,109
3000.0,2025-12-03T02:00:00+00:00,2,2,2,18,23,17,20,20,8,0,0,0,4,112
3060.0,2025-12-03T03:00:00+00:00,4,4,4,18,23,17,20,20,5,2,2,2,4,121
3120.0,2025-12-03T04:00:00+00:00,4,4,2,18,22,17,21,20,5,0,0,0,4,113
3180.0,2025-12-03T05:00:00+00:00,2,2,2,13,22,17,18,21,8,0,0,0,4,105
3240.0,2025-12-03T06:00:00+00:00,2,2,2,13,22,14,21,21,0,2,2,2,3,103
3300.0,2025-12-03T07:00:00+00:00,2,2,0,13,21,14,17,18,5,0,0,0,4,92
3360.0,2025-12-03T08:00:00+00:00,4,2,2,13,21,11,20,18,0,2,0,2,4,95
3420.0,2025-12-03T09:00:00+00:00,2,2,0,11,21,11,20,18,0,0,2,0,4,87
3480.0,2025-12-03T10:00:00+00:00,0,2,2,11,19,11,17,17,2,0,0,2,4,83
3540.0,2025-12-03T11:00:00+00:00,2,4,2,8,19,8,17,20,2,2,2,0,4,86
3600.0,2025-12-03T12:00:00+00:00,2,2,2,8,16,8,20,20,2,0,0,0,4,80
3660.0,2025-12-03T13:00:00+00:00,2,2,4,8,16,8,17,17,7,0,0,2,4,83
3720.0,2025-12-03T14:00:00+00:00,4,4,4,5,16,4,21,21,2,2,2,0,4,85
3780.0,2025-12-03T15:00:00+00:00,2,4,2,5,15,4,21,21,5,0,0,0,4,79
3840.0,2025-12-03T16:00:00+00:00,4,4,4,4,15,0,20,20,5,2,0,2,4,80
3900.0,2025-12-03T17:00:00+00:00,4,4,2,4,15,0,20,20,5,0,2,0,4,76
3960.0,2025-12-03T18:00:00+00:00,4,4,2,4,13,0,18,20,8,0,0,0,4,73
4020.0,2025-12-03T19:00:00+00:00,4,4,4,0,13,0,19,19,1,2,2,2,4,70
4080.0,2025-12-03T20:00:00+00:00,2,2,2,0,13,0,19,16,2,0,0,0,4,56
4140.0,2025-12-03T21:00:00+00:00,2,2,4,0,7,0,17,20,5,0,0,2,4,59
4200.0,2025-12-03T22:00:00+00:00,4,4,2,0,7,0,14,20,7,2,2,0,3,62
4260.0,2025-12-03T23:00:00+00:00,2,3,2,0,7,0,11,18,0,2,2,2,2,49
4320.0,2025-12-04T00:00:00+00:00,2,2,4,0,0,0,18,15,8,0,0,2,4,51
4380.0,2025-12-04T01:00:00+00:00,4,4,4,0,0,0,13,12,6,2,2,0,3,47
4440.0,2025-12-04T02:00:00+00:00,2,4,4,0,0,0,10,10,7,0,0,2,4,39
4500.0,2025-12-04T03:00:00+00:00,4,4,5,0,0,0,10,7,9,2,2,2,2,45
4560.0,2025-12-04T04:00:00+00:00,4,6,4,0,0,0,7,5,5,2,2,0,2,35
4620.0,2025-12-04T05:00:00+00:00,4,4,4,0,0,0,2,2,13,0,0,2,3,31
4680.0,2025-12-04T06:00:00+00:00,6,6,4,0,0,0,2,0,15,2,2,0,2,37
4740.0,2025-12-04T07:00:00+00:00,6,5,6,0,0,0,0,0,12,2,0,2,2,33
4800.0,2025-12-04T08:00:00+00:00,6,4,4,0,0,0,0,0,15,0,0,0,2,29
4860.0,2025-12-04T09:00:00+00:00,6,4,4,0,0,0,0,0,13,0,0,0,1,27
4920.0,2025-12-04T10:00:00+00:00,4,3,4,0,0,0,0,0,13,0,0,0,1,24
4980.0,2025-12-04T11:00:00+00:00,4,3,4,0,0,0,0,0,10,0,0,0,1,21
5040.0,2025-12-04T12:00:00+00:00,4,2,2,0,0,0,0,0,10,0,0,0,1,18
5100.0,2025-12-04T13:00:00+00:00,4,2,2,0,0,0,0,0,7,0,0,0,1,15
5160.0,2025-12-04T14:00:00+00:00,2,2,2,0,0,0,0,0,7,0,0,0,1,13
5220.0,2025-12-04T15:00:00+00:00,2,2,2,0,0,0,0,0,7,0,0,0,1,13
5280.0,2025-12-04T16:00:00+00:00,2,2,2,0,0,0,0,0,3,0,0,0,1,9
5340.0,2025-12-04T17:00:00+00:00,2,0,1,0,0,0,0,0,3,0,0,0,1,6
